mvelX,mvelY,posX,posY,distance,i
202.346,-648.778,1.18286e+09,8.2189e+08,1.8878e+08,241
127.93,-699.45,1.18453e+09,8.15141e+08,1.68822e+08,242
20.9169,-752.454,1.18531e+09,8.0787e+08,1.47537e+08,243
-147.275,-800.31,1.18475e+09,8.00092e+08,1.24804e+08,244
-442.915,-806.295,1.18192e+09,7.9198e+08,1.00067e+08,245
-823.044,-655.04,1.17562e+09,7.84457e+08,7.57808e+07,246
-1124.35,-95.0394,1.16563e+09,7.80222e+08,6.40675e+07,247
-902.704,585.436,1.1551e+09,7.83202e+08,7.19249e+07,248
-516.223,793.153,1.14803e+09,7.9035e+08,9.48655e+07,249
-194.95,807.096,1.14457e+09,7.98451e+08,1.20002e+08,250
-7.30548,762.894,1.14364e+09,8.06321e+08,1.43074e+08,251
109.068,710.009,1.14419e+09,8.13697e+08,1.64637e+08,252
188.79,658.695,1.1457e+09,8.20549e+08,1.84853e+08,253
246.961,611.044,1.1479e+09,8.269e+08,2.03806e+08,254
291.358,567.121,1.1506e+09,8.32796e+08,2.21585e+08,255
326.331,526.575,1.1537e+09,8.38267e+08,2.38238e+08,256
354.588,488.899,1.15712e+09,8.43347e+08,2.53831e+08,257
377.869,453.632,1.16079e+09,8.48064e+08,2.6842e+08,258
397.323,420.418,1.16467e+09,8.52436e+08,2.82035e+08,259
413.777,388.913,1.16873e+09,8.56485e+08,2.9472e+08,260
427.823,358.837,1.17294e+09,8.60223e+08,3.06502e+08,261
439.897,329.949,1.17728e+09,8.63667e+08,3.17411e+08,262
450.333,302.024,1.18174e+09,8.66828e+08,3.27474e+08,263
459.369,274.907,1.18629e+09,8.69713e+08,3.367e+08,264
467.206,248.426,1.19092e+09,8.72332e+08,3.4511e+08,265
473.988,222.451,1.19563e+09,8.74688e+08,3.52707e+08,266
479.83,196.856,1.20041e+09,8.76785e+08,3.59497e+08,267
484.829,171.5,1.20523e+09,8.78629e+08,3.65488e+08,268
489.047,146.294,1.21011e+09,8.80217e+08,3.70673e+08,269
492.54,121.105,1.21502e+09,8.81556e+08,3.75055e+08,270
495.341,95.8392,1.21996e+09,8.82641e+08,3.78621e+08,271
497.477,70.3396,1.22493e+09,8.83472e+08,3.81365e+08,272
498.951,44.5339,1.22992e+09,8.84047e+08,3.83267e+08,273
499.762,18.2803,1.23491e+09,8.84361e+08,3.84311e+08,274
499.892,-8.50618,1.23991e+09,8.84409e+08,3.84471e+08,275
499.333,-34.9592,1.24491e+09,8.84191e+08,3.83745e+08,276
498.105,-60.9342,1.24991e+09,8.83709e+08,3.82151e+08,277
